kq,sl,mean_reward
539.0330426,953,0.565617044
479.6512613,949,0.505428094
459.8595087,944,0.48713931
526.407153,984,0.534966619
565.286285,913,0.619152558
585.7970392,909,0.644441187
497.3710944,935,0.531947695
469.1913619,983,0.477305556
468.8689823,914,0.512985757
507.2736273,939,0.540227505
558.064589,957,0.583139591
467.1012489,933,0.500644425
503.5989644,920,0.547390179
552.2115295,930,0.593775838
543.0015694,900,0.603335077
419.506523,958,0.437898249
506.6888535,944,0.536746667
549.3790441,910,0.603713235
478.7686714,956,0.50080405
529.1491179,950,0.556999071
533.8004383,929,0.574596812
442.5871973,983,0.450241299
485.7836685,994,0.488715964
494.8356477,905,0.546779721
477.3805339,935,0.510567416
455.4123182,953,0.477872317
440.8250927,911,0.48389143
473.3078919,940,0.503519034
455.0880788,978,0.465325234
531.4766055,938,0.566606189
584.7042838,971,0.602167131
477.297657,927,0.514884204
487.8478688,1000,0.487847869
480.8290227,960,0.500863565
448.2405042,971,0.461627708
469.7026976,917,0.512216682
434.9596687,987,0.440688621
445.7415263,944,0.47218382
604.619917,986,0.613204784
499.1033926,914,0.546064981
485.1538798,921,0.526768599
456.1147842,992,0.459793129
527.5764554,958,0.550706112
541.6904029,906,0.597892277
464.6388961,967,0.480495239
495.215622,958,0.516926537
456.3968262,983,0.464289752
511.6481751,936,0.546632666
435.5140169,948,0.459402971
473.5998169,995,0.475979715
502.8207028,939,0.535485307
462.7325602,950,0.487086905
465.2151898,905,0.514049934
491.6191796,990,0.49658503
551.7274428,924,0.597107622
491.3336169,906,0.542310835
391.4865085,928,0.421860462
646.0123335,943,0.685060799
496.688627,928,0.535224814
468.4962542,982,0.477083762
484.7041282,987,0.491088276
544.2700179,929,0.585866542
482.0986929,964,0.500102379
410.6135556,913,0.449741025
541.6296614,946,0.572547211
473.9953363,986,0.480725493
494.1689576,964,0.5126234
472.0603455,976,0.483668387
515.1730104,941,0.547473975
540.9019644,905,0.597681729
517.5129387,964,0.536839148
440.540105,988,0.445890795
484.1748344,960,0.504348786
430.7552773,933,0.4616884
432.3840824,997,0.433685138
457.5360693,990,0.462157646
482.2992609,952,0.506616871
489.2729815,931,0.525534889
504.8902975,932,0.541727787
536.3098254,960,0.558656068
493.4618107,926,0.532896124
559.9452685,965,0.580254164
498.720224,962,0.518420191
447.7898403,933,0.479946238
468.8581856,995,0.471214257
419.928352,935,0.449121232
464.050504,925,0.501676221
439.0706476,995,0.441277033
499.545645,982,0.508702286
429.3981138,904,0.474997914
526.9233665,970,0.543219965
506.8781892,931,0.544444886
535.4336878,902,0.593607193
577.4247669,952,0.606538621
485.9578992,984,0.493859654
481.4173097,972,0.495285298
512.3246101,982,0.521715489
556.0698775,988,0.562823763
505.1676586,977,0.51706004
457.9097843,905,0.505977662
518.189498,990,0.523423735
415.87732,965,0.430960953
455.7122399,999,0.456168408
420.4238771,931,0.451583112
445.1849751,900,0.494649972
477.1123612,943,0.505951603
500.5502255,973,0.514440108
486.6273066,962,0.505849591
489.6338317,951,0.514862073
489.6686969,909,0.538689436
497.9801711,941,0.529203157
475.3061984,964,0.493056222
474.218397,906,0.523419864
521.6280251,948,0.550240533
478.9011751,911,0.525687349
555.1676069,991,0.560209492
435.7660132,900,0.484184459
470.5582162,944,0.498472687
449.2992421,964,0.466078052
469.1575448,963,0.487183328
474.4481928,972,0.488115425
567.56362,902,0.62922796
495.8489673,924,0.536633082
455.3016704,919,0.495431633
412.9163283,937,0.440679112
464.5857414,962,0.482937361
478.7124837,979,0.488981087
451.9999589,982,0.460285091
488.6162218,947,0.515962219
423.5484264,930,0.455428415
429.6394051,997,0.430932202
484.485384,1000,0.484485384
513.6596639,935,0.549368625
538.997583,920,0.585866938
477.7652498,904,0.528501383
501.0892327,988,0.507175337
469.0767291,973,0.482093247
433.7823574,984,0.440835729
479.9852439,930,0.516113165
464.4645162,911,0.509840303
455.9765149,947,0.481495792
458.438577,920,0.498302801
490.2821016,989,0.495735189
508.8627187,985,0.516611897
542.2702226,980,0.553336962
446.2289287,951,0.469220745
504.5097836,907,0.556240114
515.9803931,964,0.53524937
520.3290412,946,0.550030699
453.6841887,968,0.468682013
505.9757259,921,0.549376467
546.6683432,952,0.574231453
524.8742327,951,0.551918226
549.3832082,942,0.583209351
552.89559,988,0.559610921
523.8488906,931,0.562673352
475.5398844,945,0.503216809
430.9816581,912,0.472567608
453.407939,979,0.463133748
446.49414,997,0.447837653
478.4432312,987,0.484744915
553.0413194,933,0.592755969
490.5717486,908,0.540277256
454.4802769,996,0.456305499
480.5905395,911,0.527541756
481.7494149,961,0.50130012
447.4364803,909,0.492229351
526.6473861,924,0.569964704
425.4937758,960,0.443222683
495.0338136,918,0.53925252
449.164719,952,0.47181168
473.5645671,945,0.501126526
386.5996534,947,0.40823617
449.4156397,920,0.488495261
374.5146413,923,0.405758008
433.180504,967,0.447963293
445.1809849,938,0.474606594
511.1278202,906,0.564158742
515.9377917,955,0.540248997
558.1323992,912,0.61198728
554.920896,927,0.598620168
483.5299881,967,0.500031011
441.4640205,979,0.450933627
439.5755617,986,0.445817
537.9080547,992,0.542246023
486.2989454,963,0.504983329
494.9569268,994,0.497944594
551.7782239,959,0.575368325
435.5588996,965,0.451356373
498.1580175,945,0.527151341
484.7306454,988,0.490618062
436.8467436,932,0.468719682
442.8515783,935,0.473638052
518.4222382,937,0.553278803
458.2170109,942,0.486429948
505.7314934,936,0.540311425
560.6805498,903,0.620908693
501.3419481,986,0.508460394
458.3093976,984,0.465761583
501.3419481,986,0.508460394
